worker_id,sleep_at,wake_up_at,income_inequality,income_inequality_factor,husband_is_manly,wife_neglecting_duty,expensive_purchase,market_permission,clothing_purchase_permission,friends_neighborhood,alone_friends,public_transportation,consultation,market_permission_m,clothing_purchase_permission_m,friends_neighborhood_m,alone_friends_m,public_transportation_m,consultation_m,persuade_opinions,daily_activity
3122,11 घंटे:  मिनट,7 घंटे:  मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],"['मैं न सहमत हूँ, न असहमत हूँ']",['मैं कुछ हद तक सहमत हूँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['हाँ'],"[{'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '2 घंटे:  मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '3 घंटे:  मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: 40 मिनट'}]"
4678,30 घंटे: 9 मिनट,00 घंटे: 6 मिनट,['मैं कुछ हद तक सहमत हूँ'],['शिक्षा की कमी'],['मैं कुछ हद तक असहमत हूँ'],['मैं कुछ हद तक असहमत हूँ'],['हमेशा'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['नहीं'],"[{'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': '00 घंटे: 1 मिनट'}, {'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '00 घंटे: 1 मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '30 घंटे: 00 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '00 घंटे: 8 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '30 घंटे: 00 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '30 घंटे: 00 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '00 घंटे: 1 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '30 घंटे: 1 मिनट'}]"
4682,11 घंटे: 00 मिनट,6 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],['मैं पूरी तरह सहमत हूँ'],['मैं कुछ हद तक सहमत हूँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['हमेशा'],['हमेशा'],['हमेशा'],['हाँ'],"[{'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '00 घंटे: 30 मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '4 घंटे: 00 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '2 घंटे: 00 मिनट'}, {'daily_activity': ['अपने व्यवसाय/व्यापार/दुकान पर काम'], 'activity_time': '2 घंटे:  मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '2 घंटे: 00 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '1 घंटे: 0 मिनट'}]"
4788,10 घंटे: 00 मिनट,5 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],"['मैं न सहमत हूँ, न असहमत हूँ']",['मैं पूरी तरह असहमत हूँ'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['कभी नहीं'],['हमेशा'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['हाँ'],"[{'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '8 घंटे: 00 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '3 घंटे: 00 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': ' घंटे: 30 मिनट'}]"
4790,9 घंटे: 10 मिनट,4 घंटे: 15 मिनट,['मैं कुछ हद तक सहमत हूँ'],['कानूनों की कमी'],['मैं कुछ हद तक असहमत हूँ'],['मैं पूरी तरह असहमत हूँ'],['हमेशा'],['ज़्यादातर हाँ'],['कभी नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['कभी नहीं'],['ज़्यादातर हाँ'],['हमेशा'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['हाँ'],"[{'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '1 घंटे: 40 मिनट'}, {'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '8 घंटे:  मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '2 घंटे:  मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '1 घंटे:  मिनट'}]"
4884,10 घंटे: 00 मिनट,5 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],"['जाति, धर्म या लिंग के आधार पर भेदभाव']",['मैं पूरी तरह असहमत हूँ'],['मैं पूरी तरह असहमत हूँ'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['कभी नहीं'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['हमेशा'],['हाँ'],"[{'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '1 घंटे: 30 मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '2 घंटे: 30 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '3 घंटे: 30 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '2 घंटे:  मिनट'}, {'daily_activity': ['अपने व्यवसाय/व्यापार/दुकान पर काम'], 'activity_time': '2 घंटे:  मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '1 घंटे: 30 मिनट'}]"
4889,11 घंटे: 00 मिनट,6 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],['नौकरी के मौके की कमी'],['मैं पूरी तरह सहमत हूँ'],['मैं कुछ हद तक सहमत हूँ'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['नहीं'],"[{'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': '3 घंटे: 00 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '1 घंटे: 0 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '1 घंटे: 0 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '2 घंटे: 0 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '3 घंटे: 0 मिनट'}]"
5230,8 घंटे:  मिनट,6 घंटे:  मिनट,['मैं कुछ हद तक सहमत हूँ'],['शिक्षा की कमी'],['मैं पूरी तरह असहमत हूँ'],['मैं पूरी तरह असहमत हूँ'],['ज़्यादातर हाँ'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['कभी नहीं'],['नहीं'],"[{'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '.30 घंटे:  मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '4 घंटे:  मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': ':30 घंटे:  मिनट'}, {'daily_activity': ['अपने व्यवसाय/व्यापार/दुकान पर काम'], 'activity_time': '6 घंटे:  मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '3 घंटे:  मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': ':30 घंटे:  मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': ':30 घंटे:  मिनट'}]"
5259,10 घंटे: 15 मिनट,4 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],"['जाति, धर्म या लिंग के आधार पर भेदभाव']",['मैं पूरी तरह सहमत हूँ'],['मैं कुछ हद तक सहमत हूँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['कभी नहीं'],['ज़्यादातर हाँ'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['कभी नहीं'],['ज़्यादातर हाँ'],['कभी नहीं'],['हाँ'],"[{'daily_activity': ['अपने खेत पर काम'], 'activity_time': '3 घंटे: 35 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '3 घंटे: 00 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: 10 मिनट'}, {'daily_activity': ['अपने व्यवसाय/व्यापार/दुकान पर काम'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': ' घंटे: 15 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '2 घंटे: 0 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': ' घंटे: 10 मिनट'}, {'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': ' घंटे: 30 मिनट'}]"
5324,11 घंटे:  मिनट,6 घंटे:  मिनट,['मैं पूरी तरह असहमत हूँ'],['शिक्षा की कमी'],['मैं पूरी तरह असहमत हूँ'],['मैं पूरी तरह असहमत हूँ'],['हमेशा'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['ज़्यादातर हाँ'],['ज़्यादातर नहीं'],['ज़्यादातर नहीं'],['नहीं'],"[{'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '6 घंटे:  मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': ' घंटे: 30 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': ' घंटे: 1 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': ' घंटे: 1 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': ' घंटे: 1 मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': ' घंटे: 1 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': ' घंटे: 30 मिनट'}]"
5775,7 घंटे: 00 मिनट,6 घंटे: 00 मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],"['मैं न सहमत हूँ, न असहमत हूँ']",['मैं पूरी तरह असहमत हूँ'],['हमेशा'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['कभी नहीं'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['हमेशा'],['हमेशा'],['हाँ'],"[{'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': '3 घंटे: 00 मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '1 घंटे: 0p मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '1 घंटे: 00 मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '2 घंटे: 00 मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '1 घंटे: 00 मिनट'}]"
5964,10:30 घंटे:  मिनट,05 घंटे: 20 मिनट,['मैं पूरी तरह सहमत हूँ'],['भ्रष्टाचार'],['मैं पूरी तरह सहमत हूँ'],['मैं पूरी तरह सहमत हूँ'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हमेशा'],['हमेशा'],['हमेशा'],['ज़्यादातर हाँ'],['हमेशा'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हाँ'],"[{'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '05 घंटे: 60 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '01 घंटे: 10 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '01:30 घंटे:  मिनट'}]"
6762,"8 घंटे: 23 मिनट",5  घंटे: 30 मिनट,['मैं पूरी तरह सहमत हूँ'],['शिक्षा की कमी'],['मैं पूरी तरह असहमत हूँ'],['मैं कुछ हद तक असहमत हूँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['ज़्यादातर हाँ'],['हाँ'],"[{'daily_activity': ['तैयार होना/नहाना-धोना'], 'activity_time': '6 घंटे: 20 मिनट'}, {'daily_activity': ['घर का काम (खाना बनाना, सफाई करना, पानी भरना, बुजुर्गों का ख्याल रखना इत्यादि)'], 'activity_time': '2 घंटे: 30 मिनट'}, {'daily_activity': ['सुबह का नाश्ता'], 'activity_time': '7 घंटे: 10 मिनट'}, {'daily_activity': ['आय अर्जित करने वाला काम/नौकरी'], 'activity_time': '9 घंटे: 00 मिनट'}, {'daily_activity': ['अपने खेत पर काम'], 'activity_time': '3 घंटे: 25 मिनट'}, {'daily_activity': ['अपने व्यवसाय/व्यापार/दुकान पर काम'], 'activity_time': '7 घंटे: 00 मिनट'}, {'daily_activity': ['दोपहर का खाना'], 'activity_time': '1 घंटे:  मिनट'}, {'daily_activity': ['रात का खाना'], 'activity_time': '8 घंटे:  मिनट'}, {'daily_activity': ['आराम करना/परिवार के साथ समय बिताना'], 'activity_time': '2 घंटे:  मिनट'}, {'daily_activity': ['टीवी देखना/व्हाट्सऐप/फोन देखना'], 'activity_time': '2 घंटे: 30 मिनट'}]"
